country,year,decade,population,continent,life_exp,life_exp_bin,gdp_cap,gdp_cap_bin,gdp_total
Albania,2007-01-01,2000,3600523,Europe,76.423,Very High,5937.029526,High,21376411360.0421
Algeria,1952-01-01,1950,9279525,Africa,43.077,Low,2449.008185,Medium,22725632677.912125
Algeria,1957-01-01,1950,10270856,Africa,45.685,Low,3013.976023,Medium,30956113719.685688
Algeria,1962-01-01,1960,11000948,Africa,48.303,Medium,2550.81688,Medium,28061403854.402237
Algeria,1967-01-01,1960,12760499,Africa,51.407,Medium,3246.991771,Medium,41433235246.85373
Algeria,1972-01-01,1970,14760787,Africa,54.518,Medium,4182.663766,High,61739408942.54384
Algeria,1977-01-01,1970,17152804,Africa,58.014,Medium,4910.416756,High,84227416173.98381
Algeria,1982-01-01,1980,20033753,Africa,61.368,High,5745.160213,High,115097120652.66939
Algeria,1987-01-01,1980,23254956,Africa,65.799,High,5681.358539,High,132119742844.66928
Algeria,1992-01-01,1990,26298373,Africa,67.744,High,5023.216647,High,132102425042.61534
Algeria,1997-01-01,1990,29072015,Africa,69.152,High,4797.295051,High,139467033682.09778
Algeria,2002-01-01,2000,31287142,Africa,70.994,Very High,5288.040382,High,165447670333.36826
Algeria,2007-01-01,2000,33333216,Africa,72.301,Very High,6223.367465,High,207444851958.21744
Angola,1952-01-01,1950,4232095,Africa,30.015,Low,3520.610273,Medium,14899557133.311934
Angola,1957-01-01,1950,4561361,Africa,31.999,Low,3827.940465,High,17460618347.372864
Angola,1962-01-01,1960,4826015,Africa,34.0,Low,4269.276742,High,20603593596.04313
Angola,1967-01-01,1960,5247469,Africa,35.985,Low,5522.776375,High,28980597821.744877
Angola,1972-01-01,1970,5894858,Africa,37.928,Low,5473.288005,High,32264255582.578293
Angola,1977-01-01,1970,6162675,Africa,39.483,Low,3008.647355,Medium,18541315838.474625
Angola,1982-01-01,1980,7016384,Africa,39.942,Low,2756.953672,Medium,19343845632.962048
Angola,1987-01-01,1980,7874230,Africa,39.906,Low,2430.208311,Medium,19136019188.72553
Angola,1992-01-01,1990,8735988,Africa,40.647,Low,2627.845685,Medium,22956828370.01178
Angola,1997-01-01,1990,9875024,Africa,40.963,Low,2277.140884,Medium,22486820880.881214
Angola,2002-01-01,2000,10866106,Africa,41.003,Low,2773.287312,Medium,30134833900.64707
Angola,2007-01-01,2000,12420476,Africa,42.731,Low,4797.231267,High,59583895818.22309
Argentina,1952-01-01,1950,17876956,Americas,62.485,High,5911.315053,High,105676319104.61867
Argentina,1957-01-01,1950,19610538,Americas,64.399,High,6856.856212,High,134466639305.96205
Argentina,1962-01-01,1960,21283783,Americas,65.142,High,7133.166023,High,151820757736.505
Argentina,1967-01-01,1960,22934225,Americas,65.634,High,8052.953021,High,184688236498.04373
Argentina,1972-01-01,1970,24779799,Americas,67.065,High,9443.038526,Very High,233996596623.5363
Argentina,1977-01-01,1970,26983828,Americas,68.481,High,10079.02674,Very High,271970723959.5607
Argentina,1982-01-01,1980,29341374,Americas,69.942,High,8997.897412,High,264010673179.12408
Argentina,1987-01-01,1980,31620918,Americas,70.774,High,9139.671389,High,289004799538.5151
Argentina,1992-01-01,1990,33958947,Americas,71.868,Very High,9308.41871,High,316104097626.69836
Argentina,1997-01-01,1990,36203463,Americas,73.275,Very High,10967.28195,Very High,397053586287.3929
Argentina,2002-01-01,2000,38331121,Americas,74.34,Very High,8797.640716,High,337223430799.52264
Argentina,2007-01-01,2000,40301927,Americas,75.32,Very High,12779.37964,Very High,515033625356.5662
Australia,1952-01-01,1950,8691212,Oceania,69.12,High,10039.59564,Very High,87256254101.51567
Australia,1957-01-01,1950,9712569,Oceania,70.33,High,10949.64959,Very High,106349227168.69672
Australia,1962-01-01,1960,10794968,Oceania,70.93,Very High,12217.22686,Very High,131884573002.44049
Australia,1967-01-01,1960,11872264,Oceania,71.1,Very High,14526.12465,Very High,172457986741.7076
Australia,1972-01-01,1970,13177000,Oceania,71.93,Very High,16788.62948,Very High,221223770657.96
Australia,1977-01-01,1970,14074100,Oceania,73.49,Very High,18334.19751,Very High,258037329175.49103
Australia,1982-01-01,1980,15184200,Oceania,74.74,Very High,19477.00928,Very High,295742804309.376
Australia,1987-01-01,1980,16257249,Oceania,76.32,Very High,21888.88903,Very High,355853119294.0784
Australia,1992-01-01,1990,17481977,Oceania,77.56,Very High,23424.76683,Very High,409511234952.4229
Australia,1997-01-01,1990,18565243,Oceania,78.83,Very High,26997.93657,Very High,501223252920.63654
Australia,2002-01-01,2000,19546792,Oceania,80.37,Very High,30687.75473,Very High,599847158654.3262
Australia,2007-01-01,2000,20434176,Oceania,81.235,Very High,34435.36744,Very High,703658358893.6295
Austria,1952-01-01,1950,6927772,Europe,66.8,High,6137.076492,High,42516266683.135826
Austria,1957-01-01,1950,6965860,Europe,67.48,High,8842.59803,High,61596299913.25579
Austria,1962-01-01,1960,7129864,Europe,69.54,High,10750.72111,Very High,76651179416.22905
Austria,1967-01-01,1960,7376998,Europe,70.14,High,12834.6024,Very High,94680836235.5952
Austria,1972-01-01,1970,7544201,Europe,70.63,High,16661.6256,Very High,125698652513.1456
Austria,1977-01-01,1970,7568430,Europe,72.17,Very High,19749.4223,Very High,149472120217.98898
Austria,1982-01-01,1980,7574613,Europe,73.18,Very High,21597.08362,Very High,163589550350.13907
Austria,1987-01-01,1980,7578903,Europe,74.94,Very High,23687.82607,Very High,179527736065.4012
Austria,1992-01-01,1990,7914969,Europe,76.04,Very High,27042.01868,Very High,214036739549.62094
Austria,1997-01-01,1990,8069876,Europe,77.51,Very High,29095.92066,Very High,234800471832.03815
Austria,2002-01-01,2000,8148312,Europe,78.98,Very High,32417.60769,Very High,264148781751.7193
Austria,2007-01-01,2000,8199783,Europe,79.829,Very High,36126.4927,Very High,296229400691.0841
Bahrain,1952-01-01,1950,120447,Asia,50.939,Medium,9867.084765,Very High,1188460758.689955
Bahrain,1957-01-01,1950,138655,Asia,53.832,Medium,11635.79945,Very High,1613361772.7397501
Bahrain,1962-01-01,1960,171863,Asia,56.923,Medium,12753.27514,Very High,2191816125.38582
Bahrain,1967-01-01,1960,202182,Asia,59.923,Medium,14804.6727,Very High,2993238335.8314
Bahrain,1972-01-01,1970,230800,Asia,63.3,High,18268.65839,Very High,4216406356.412
Bahrain,1977-01-01,1970,297410,Asia,65.593,High,19340.10196,Very High,5751939723.9236
Bahrain,1982-01-01,1980,377967,Asia,69.052,High,19211.14731,Very High,7261179715.31877
Bahrain,1987-01-01,1980,454612,Asia,70.75,High,18524.02406,Very High,8421243625.96472
Bahrain,1992-01-01,1990,529491,Asia,72.601,Very High,19035.57917,Very High,10079167850.302471
Bahrain,1997-01-01,1990,598561,Asia,73.925,Very High,20292.01679,Very High,12146009861.839191
Bahrain,2002-01-01,2000,656397,Asia,74.795,Very High,23403.55927,Very High,15362026094.15019
Bahrain,2007-01-01,2000,708573,Asia,75.635,Very High,29796.04834,Very High,21112675360.41882
Bangladesh,1952-01-01,1950,46886859,Asia,37.484,Low,684.2441716,Low,32082059995.381004
Bangladesh,1957-01-01,1950,51365468,Asia,39.348,Low,661.6374577,Low,33985317661.090706
Bangladesh,1962-01-01,1960,56839289,Asia,41.216,Low,686.3415538,Low,39011165929.14725
Bangladesh,1967-01-01,1960,62821884,Asia,43.453,Low,721.1860862,Low,45306268649.6704
Bangladesh,1972-01-01,1970,70759295,Asia,45.252,Low,630.2336265,Low,44594887096.43332
Bangladesh,1977-01-01,1970,80428306,Asia,46.923,Low,659.8772322,Low,53072807953.81465
Bangladesh,1982-01-01,1980,93074406,Asia,50.009,Medium,676.9818656,Low,63009685013.49184
Bangladesh,1987-01-01,1980,103764241,Asia,52.819,Medium,751.9794035,Low,78028572051.81024
Bangladesh,1992-01-01,1990,113704579,Asia,56.018,Medium,837.8101643,Low,95262852013.65233
Bangladesh,1997-01-01,1990,123315288,Asia,59.412,Medium,972.7700352,Low,119957417048.45815
Bangladesh,2002-01-01,2000,135656790,Asia,62.013,High,1136.39043,Low,154159077920.51968
Bangladesh,2007-01-01,2000,150448339,Asia,64.062,High,1391.253792,Medium,209311822133.85147
Belgium,1952-01-01,1950,8730405,Europe,68.0,High,8343.105127,High,72838686716.28644
Belgium,1957-01-01,1950,8989111,Europe,69.24,High,9714.960623,Very High,87328859400.77615
Belgium,1962-01-01,1960,9218400,Europe,70.25,High,10991.20676,Very High,101321340396.38399
Belgium,1967-01-01,1960,9556500,Europe,70.94,Very High,13149.04119,Very High,125658812132.235
Belgium,1972-01-01,1970,9709100,Europe,71.44,Very High,16672.14356,Very High,161871509038.396
Belgium,1977-01-01,1970,9821800,Europe,72.8,Very High,19117.97448,Very High,187772921747.664
Belgium,1982-01-01,1980,9856303,Europe,73.93,Very High,20979.84589,Very High,206783717985.14468
Belgium,1987-01-01,1980,9870200,Europe,75.35,Very High,22525.56308,Very High,222331812712.216
Belgium,1992-01-01,1990,10045622,Europe,76.46,Very High,25575.57069,Very High,256922515586.0192
Belgium,1997-01-01,1990,10199787,Europe,77.53,Very High,27561.19663,Very High,281118335091.1178
Belgium,2002-01-01,2000,10311970,Europe,78.32,Very High,30485.88375,Very High,314369518653.4875
Belgium,2007-01-01,2000,10392226,Europe,79.441,Very High,33692.60508,Very High,350141166520.1081
Benin,1952-01-01,1950,1738315,Africa,38.223,Low,1062.7522,Low,1847398090.5429997
Benin,1957-01-01,1950,1925173,Africa,40.358,Low,959.6010805,Low,1847398090.9494264
Benin,1962-01-01,1960,2151895,Africa,42.618,Low,949.4990641,Low,2043222288.5414696
Benin,1967-01-01,1960,2427334,Africa,44.885,Low,1035.831411,Low,2514308802.188274
Benin,1972-01-01,1970,2761407,Africa,47.014,Low,1085.796879,Low,2998327102.248753
Benin,1977-01-01,1970,3168267,Africa,49.19,Medium,1029.161251,Low,3260657629.222017
Benin,1982-01-01,1980,3641603,Africa,50.904,Medium,1277.897616,Medium,4653595792.118448
Benin,1987-01-01,1980,4243788,Africa,52.337,Medium,1225.85601,Medium,5202273024.965879
Benin,1992-01-01,1990,4981671,Africa,53.919,Medium,1191.207681,Low,5934204759.414951
Benin,1997-01-01,1990,6066080,Africa,54.777,Medium,1232.975292,Medium,7479326759.295361
Benin,2002-01-01,2000,7026113,Africa,54.406,Medium,1372.877931,Medium,9645995478.412203
Benin,2007-01-01,2000,8078314,Africa,56.728,Medium,1441.284873,Medium,11643151767.544123
Bolivia,1952-01-01,1950,2883315,Americas,40.414,Low,2677.326347,Medium,7719575216.200306
Bolivia,1957-01-01,1950,3211738,Americas,41.89,Low,2127.686326,Medium,6833571025.294588
Bolivia,1962-01-01,1960,3593918,Americas,43.428,Low,2180.972546,Medium,7838236490.575228
Bolivia,1967-01-01,1960,4040665,Americas,45.032,Low,2586.886053,Medium,10452739933.345245
Bolivia,1972-01-01,1970,4565872,Americas,46.714,Low,2980.331339,Medium,13607811411.462606
Bolivia,1977-01-01,1970,5079716,Americas,50.023,Medium,3548.097832,High,18023329326.77571
Bolivia,1982-01-01,1980,5642224,Americas,53.859,Medium,3156.510452,Medium,17809739028.52525
Bolivia,1987-01-01,1980,6156369,Americas,57.251,Medium,2753.69149,Medium,16952740924.599812
Bolivia,1992-01-01,1990,6893451,Americas,59.957,Medium,2961.699694,Medium,20416331717.303993
Bolivia,1997-01-01,1990,7693188,Americas,62.05,High,3326.143191,Medium,25588644883.28291
Bolivia,2002-01-01,2000,8445134,Americas,63.883,High,3413.26269,Medium,28825460794.25046
Bolivia,2007-01-01,2000,9119152,Americas,65.554,High,3822.137084,High,34854649033.83277
Bosnia and Herzegovina,1952-01-01,1950,2791000,Europe,53.82,Medium,973.5331948,Low,2717131146.6868
Bosnia and Herzegovina,1957-01-01,1950,3076000,Europe,58.45,Medium,1353.989176,Medium,4164870705.376
Bosnia and Herzegovina,1962-01-01,1960,3349000,Europe,61.93,High,1709.683679,Medium,5725730640.971
Bosnia and Herzegovina,1967-01-01,1960,3585000,Europe,64.79,High,2172.352423,Medium,7787883436.454999
Bosnia and Herzegovina,1972-01-01,1970,3819000,Europe,67.45,High,2860.16975,Medium,10922988275.25
Bosnia and Herzegovina,1977-01-01,1970,4086000,Europe,69.86,High,3528.481305,Medium,14417374612.23
Bosnia and Herzegovina,1982-01-01,1980,4172693,Europe,70.69,High,4126.613157,High,17219089833.9218
Bosnia and Herzegovina,1987-01-01,1980,4338977,Europe,71.14,Very High,4314.114757,High,18718844705.98359
Bosnia and Herzegovina,1992-01-01,1990,4256013,Europe,72.178,Very High,2546.781445,Medium,10839134938.078785
Bosnia and Herzegovina,1997-01-01,1990,3607000,Europe,73.244,Very High,4766.355904,High,17192245745.728
Bosnia and Herzegovina,2002-01-01,2000,4165416,Europe,74.09,Very High,6018.975239,High,25071535764.134426
Bosnia and Herzegovina,2007-01-01,2000,4552198,Europe,74.852,Very High,7446.298803,High,33897026518.41899
Botswana,1952-01-01,1950,442308,Africa,47.622,Low,851.2411407,Low,376510766.46073556
Botswana,1957-01-01,1950,474639,Africa,49.618,Medium,918.2325349,Low,435828972.1324011
Botswana,1962-01-01,1960,512764,Africa,51.52,Medium,983.6539764,Low,504382347.55476964
Botswana,1967-01-01,1960,553541,Africa,53.298,Medium,1214.709294,Medium,672391397.310054
Botswana,1972-01-01,1970,619351,Africa,56.024,Medium,2263.611114,Medium,1401969807.067014
Botswana,1977-01-01,1970,781472,Africa,59.319,Medium,3214.857818,Medium,2512321368.748096
Botswana,1982-01-01,1980,970347,Africa,61.484,High,4551.14215,High,4416187131.82605
Botswana,1987-01-01,1980,1151184,Africa,63.622,High,6205.88385,High,7144114193.9784
Botswana,1992-01-01,1990,1342614,Africa,62.745,High,7954.111645,High,10679301652.14003
Botswana,1997-01-01,1990,1536536,Africa,52.556,Medium,8647.142313,High,13286645461.047768
Botswana,2002-01-01,2000,1630347,Africa,46.634,Low,11003.60508,Very High,17939694531.36276
Botswana,2007-01-01,2000,1639131,Africa,50.728,Medium,12569.85177,Very High,20603633701.61187
Brazil,1952-01-01,1950,56602560,Americas,50.917,Medium,2108.944355,Medium,119371649390.5488
Brazil,1957-01-01,1950,65551171,Americas,53.285,Medium,2487.365989,Medium,163049753284.5231
Brazil,1962-01-01,1960,76039390,Americas,55.665,Medium,3336.585802,Medium,253711949066.74078
Brazil,1967-01-01,1960,88049823,Americas,57.632,Medium,3429.864357,Medium,301998949547.8588
Brazil,1972-01-01,1970,100840058,Americas,59.504,Medium,4985.711467,High,502759433503.5451
Brazil,1977-01-01,1970,114313951,Americas,61.489,High,6660.118654,High,761344477467.542
Brazil,1982-01-01,1980,128962939,Americas,63.336,High,7030.835878,High,906717258453.5254
Brazil,1987-01-01,1980,142938076,Americas,65.205,High,7807.095818,High,1115931255372.5662
Brazil,1992-01-01,1990,155975974,Americas,67.057,High,6950.283021,High,1084077163776.1375
Brazil,1997-01-01,1990,168546719,Americas,69.388,High,7957.980824,High,1341291557750.1165
Brazil,2002-01-01,2000,179914212,Americas,71.006,Very High,8131.212843,High,1462920751252.6248
Brazil,2007-01-01,2000,190010647,Americas,72.39,Very High,9065.800825,High,1722598680331.3838
Bulgaria,1952-01-01,1950,7274900,Europe,59.6,Medium,2444.286648,Medium,17781940935.5352
Bulgaria,1957-01-01,1950,7651254,Europe,66.61,High,3008.670727,Medium,23020103934.64166
Bulgaria,1962-01-01,1960,8012946,Europe,69.51,High,4254.337839,High,34089779369.663692
Bulgaria,1967-01-01,1960,8310226,Europe,70.42,High,5577.0028,High,46346153670.632805
Bulgaria,1972-01-01,1970,8576200,Europe,70.9,Very High,6597.494398,High,56581431456.1276
Bulgaria,1977-01-01,1970,8797022,Europe,70.81,High,7612.240438,High,66965046602.37563
Bulgaria,1982-01-01,1980,8892098,Europe,71.08,Very High,8224.191647,High,73130318095.9054
Bulgaria,1987-01-01,1980,8971958,Europe,71.34,Very High,8239.854824,High,73927631407.02539
Bulgaria,1992-01-01,1990,8658506,Europe,71.19,Very High,6302.623438,High,54571302853.66363
Bulgaria,1997-01-01,1990,8066057,Europe,70.32,High,5970.38876,High,48157496050.31932
Bulgaria,2002-01-01,2000,7661799,Europe,72.14,Very High,7696.777725,High,58971163876.62727
Bulgaria,2007-01-01,2000,7322858,Europe,73.005,Very High,10680.79282,Very High,78213929148.27957
Burkina Faso,1952-01-01,1950,4469979,Africa,31.975,Low,543.2552413,Low,2428339520.2509327
Burkina Faso,1957-01-01,1950,4713416,Africa,34.906,Low,617.1834648,Low,2909042417.923757
Burkina Faso,1962-01-01,1960,4919632,Africa,37.814,Low,722.5120206,Low,3554493256.928419
Burkina Faso,1967-01-01,1960,5127935,Africa,40.697,Low,794.8265597,Low,4075818934.4152193
Burkina Faso,1972-01-01,1970,5433886,Africa,43.591,Low,854.7359763,Low,4644537855.3129015
Burkina Faso,1977-01-01,1970,5889574,Africa,46.137,Low,743.3870368,Low,4378232963.874324
Burkina Faso,1982-01-01,1980,6634596,Africa,48.122,Low,807.1985855,Low,5355436506.563958
Burkina Faso,1987-01-01,1980,7586551,Africa,49.557,Medium,912.0631417,Low,6919413539.727277
Burkina Faso,1992-01-01,1990,8878303,Africa,50.26,Medium,931.7527731,Low,8272383440.6720495
Burkina Faso,1997-01-01,1990,10352843,Africa,50.324,Medium,946.2949618,Low,9796843171.206398
Burkina Faso,2002-01-01,2000,12251209,Africa,50.65,Medium,1037.645221,Low,12712408470.32219
Burkina Faso,2007-01-01,2000,14326203,Africa,52.295,Medium,1217.032994,Medium,17435461729.74178
Burundi,1952-01-01,1950,2445618,Africa,39.031,Low,339.2964587,Low,829789526.7329767
Burundi,1957-01-01,1950,2667518,Africa,40.533,Low,379.5646281,Low,1012495477.6200558
Burundi,1962-01-01,1960,2961915,Africa,42.045,Low,355.2032273,Low,1052081766.9882795
Burundi,1967-01-01,1960,3330989,Africa,43.548,Low,412.9775136,Low,1375623555.0489504
Burundi,1972-01-01,1970,3529983,Africa,44.057,Low,464.0995039,Low,1638263359.0754337
Burundi,1977-01-01,1970,3834415,Africa,45.91,Low,556.1032651,Low,2132330701.2484167
Burundi,1982-01-01,1980,4580410,Africa,47.471,Low,559.603231,Low,2563212235.3047104
Burundi,1987-01-01,1980,5126023,Africa,48.211,Medium,621.8188189,Low,3187457567.5142345
Burundi,1992-01-01,1990,5809236,Africa,44.736,Low,631.6998778,Low,3669693671.311361
Burundi,1997-01-01,1990,6121610,Africa,45.326,Low,463.1151478,Low,2835010319.923958
Burundi,2002-01-01,2000,7021078,Africa,47.36,Low,446.4035126,Low,3134233881.438583
Burundi,2007-01-01,2000,8390505,Africa,49.58,Medium,430.0706916,Low,3608510288.223258
Cambodia,1952-01-01,1950,4693836,Asia,39.417,Low,368.4692856,Low,1729534397.6435616
Cambodia,1957-01-01,1950,5322536,Asia,41.366,Low,434.0383364,Low,2310184670.8691106
Cambodia,1962-01-01,1960,6083619,Asia,43.415,Low,496.9136476,Low,3023033307.8986645
Cambodia,1967-01-01,1960,6960067,Asia,45.415,Low,523.4323142,Low,3643123976.797051
Cambodia,1972-01-01,1970,7450606,Asia,40.317,Low,421.6240257,Low,3141354495.624574
Cambodia,1977-01-01,1970,6978607,Asia,31.22,Low,524.9721832,Low,3663574552.4848027
Cambodia,1982-01-01,1980,7272485,Asia,50.957,Medium,624.4754784,Low,4541488549.531824
Cambodia,1987-01-01,1980,8371791,Asia,53.914,Medium,683.8955732,Low,5725430804.655601
Cambodia,1992-01-01,1990,10150094,Asia,55.803,Medium,682.3031755,Low,6925441367.823497
Cambodia,1997-01-01,1990,11782962,Asia,56.534,Medium,734.28517,Low,8652054255.27354
Cambodia,2002-01-01,2000,12926707,Asia,56.752,Medium,896.2260153,Low,11585251105.560617
Cambodia,2007-01-01,2000,14131858,Asia,59.723,Medium,1713.778686,Medium,24218877033.97859
Cameroon,1952-01-01,1950,5009067,Africa,38.523,Low,1172.667655,Low,5873970852.627885
Cameroon,1957-01-01,1950,5359923,Africa,40.428,Low,1313.048099,Medium,7037836705.936378
Cameroon,1962-01-01,1960,5793633,Africa,42.643,Low,1399.607441,Medium,8108811857.223154
Cameroon,1967-01-01,1960,6335506,Africa,44.799,Low,1508.453148,Medium,9556813969.872889
Cameroon,1972-01-01,1970,7021028,Africa,47.049,Low,1684.146528,Medium,11824439929.190784
Cameroon,1977-01-01,1970,7959865,Africa,49.355,Medium,1783.432873,Medium,14195884905.642145
Cameroon,1982-01-01,1980,9250831,Africa,52.961,Medium,2367.983282,Medium,21905813152.60734
Cameroon,1987-01-01,1980,10780667,Africa,54.985,Medium,2602.664206,Medium,28058456117.705402
Cameroon,1992-01-01,1990,12467171,Africa,54.314,Medium,1793.163278,Medium,22355673217.746536
Cameroon,1997-01-01,1990,14195809,Africa,52.199,Medium,1694.337469,Medium,24052491091.467422
Cameroon,2002-01-01,2000,15929988,Africa,49.856,Medium,1934.011449,Medium,30808779174.432613
Cameroon,2007-01-01,2000,17696293,Africa,50.43,Medium,2042.09524,Medium,36137515700.94532
Canada,1952-01-01,1950,14785584,Americas,68.75,High,11367.16112,Very High,168070115581.2941
Canada,1957-01-01,1950,17010154,Americas,69.96,High,12489.95006,Very High,212455973972.90924
Canada,1962-01-01,1960,18985849,Americas,71.3,Very High,13462.48555,Very High,255596717816.98193
Canada,1967-01-01,1960,20819767,Americas,72.13,Very High,16076.58803,Very High,334710816939.58905
Canada,1972-01-01,1970,22284500,Americas,72.88,Very High,18970.57086,Very High,422749686329.67
Canada,1977-01-01,1970,23796400,Americas,74.21,Very High,22090.88306,Very High,525683489648.984
Canada,1982-01-01,1980,25201900,Americas,75.76,Very High,22898.79214,Very High,577093069633.066
Canada,1987-01-01,1980,26549700,Americas,76.86,Very High,26626.51503,Very High,706925986091.991
Canada,1992-01-01,1990,28523502,Americas,77.95,Very High,26342.88426,Very High,751391311875.8785
Canada,1997-01-01,1990,30305843,Americas,78.61,Very High,28954.92589,Very High,877503438098.9752
Canada,2002-01-01,2000,31902268,Americas,79.77,Very High,33328.96507,Very High,1063269575825.7787
Canada,2007-01-01,2000,33390141,Americas,80.653,Very High,36319.23501,Very High,1212704377996.0364
Central African Republic,1952-01-01,1950,1291695,Africa,35.463,Low,1071.310713,Low,1383806691.428535
Central African Republic,1957-01-01,1950,1392284,Africa,37.464,Low,1190.844328,Low,1657993504.365152
Central African Republic,1962-01-01,1960,1523478,Africa,39.475,Low,1193.068753,Low,1817613997.682934
Central African Republic,1967-01-01,1960,1733638,Africa,41.478,Low,1136.056615,Low,1969510917.91537
Central African Republic,1972-01-01,1970,1927260,Africa,43.457,Low,1070.013275,Low,2062193784.3765001
Central African Republic,1977-01-01,1970,2167533,Africa,46.775,Low,1109.374338,Low,2404605486.968154
Central African Republic,1982-01-01,1980,2476971,Africa,48.295,Medium,956.7529907,Low,2369849412.1271696
Central African Republic,1987-01-01,1980,2840009,Africa,50.485,Medium,844.8763504,Low,2399456439.0231533
Central African Republic,1992-01-01,1990,3265124,Africa,49.396,Medium,747.9055252,Low,2442004280.063125
Central African Republic,1997-01-01,1990,3696513,Africa,46.066,Low,740.5063317,Low,2737291281.7113624
Central African Republic,2002-01-01,2000,4048013,Africa,43.308,Low,738.6906068,Low,2990229179.3042884
Central African Republic,2007-01-01,2000,4369038,Africa,44.741,Low,706.016537,Low,3084613078.781406
Chad,1952-01-01,1950,2682462,Africa,38.092,Low,1178.665927,Low,3161726559.872274
Chad,1957-01-01,1950,2894855,Africa,39.881,Low,1308.495577,Medium,3787904963.556335
Chad,1962-01-01,1960,3150417,Africa,41.716,Low,1389.817618,Medium,4378505050.646707
Chad,1967-01-01,1960,3495967,Africa,43.601,Low,1196.810565,Low,4184010240.491355
Chad,1972-01-01,1970,3899068,Africa,45.569,Low,1104.103987,Low,4304976524.384116
Chad,1977-01-01,1970,4388260,Africa,47.383,Low,1133.98495,Low,4976220796.687
Chad,1982-01-01,1980,4875118,Africa,49.517,Medium,797.9081006,Low,3889896143.5808706
Chad,1987-01-01,1980,5498955,Africa,51.051,Medium,952.386129,Low,5237128465.995194
Chad,1992-01-01,1990,6429417,Africa,51.724,Medium,1058.0643,Low,6802736597.5131
Chad,1997-01-01,1990,7562011,Africa,51.573,Medium,1004.961353,Low,7599528805.960883
Chad,2002-01-01,2000,8835739,Africa,50.525,Medium,1156.18186,Low,10215721151.49454
Chad,2007-01-01,2000,10238807,Africa,50.651,Medium,1704.063724,Medium,17447579585.73727
Chile,1952-01-01,1950,6377619,Americas,54.745,Medium,3939.978789,High,25127683584.32339
Chile,1957-01-01,1950,7048426,Americas,56.074,Medium,4315.622723,High,30418347406.984
Chile,1962-01-01,1960,7961258,Americas,57.924,Medium,4519.094331,High,35977675895.4284
Chile,1967-01-01,1960,8858908,Americas,60.523,Medium,5106.654313,High,45239380746.670204
Chile,1972-01-01,1970,9717524,Americas,63.441,High,5494.024437,High,53388314323.13399
Chile,1977-01-01,1970,10599793,Americas,67.052,High,4756.763836,High,50420712011.48595
Chile,1982-01-01,1980,11487112,Americas,70.565,High,5095.665738,High,58534483046.96865
Chile,1987-01-01,1980,12463354,Americas,72.492,Very High,5547.063754,High,69135019226.67091
Chile,1992-01-01,1990,13572994,Americas,74.126,Very High,7596.125964,High,103102172132.61621
Chile,1997-01-01,1990,14599929,Americas,75.816,Very High,10118.05318,Very High,147722858046.22424
Chile,2002-01-01,2000,15497046,Americas,77.86,Very High,10778.78385,Very High,167039309147.5071
Chile,2007-01-01,2000,16284741,Americas,78.553,Very High,13171.63885,Very High,214496727217.78784
